Country Name,Country Code,Year,Year Code,ARI treatment (% of children under 5 taken to a health provider) [SH.STA.ARIC.ZS],Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS],Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Diarrhea treatment (% of children under 5 who received ORS packet) [SH.STA.ORTH],"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]","Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]",Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women) [SH.MLR.IPTP.ZS],Malaria cases reported [SH.STA.MALR],"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]","Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],Use of insecticide-treated bed nets (% of under-5 population) [SH.MLR.NETS.ZS],Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth male (% of males ages 15-24) [SE.ADT.1524.LT.MA.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC],"Primary completion rate, female (% of relevant age group) [SE.PRM.CMPT.FE.ZS]","Primary completion rate, male (% of relevant age group) [SE.PRM.CMPT.MA.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 [SE.ENR.ORPH],Ratio of young literate females to males (% ages 15-24) [SE.ADT.1524.LT.FM.ZS],Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, primary, female (% gross) [SE.PRM.ENRR.FE]","School enrollment, primary, female (% net) [SE.PRM.NENR.FE]","School enrollment, primary, male (% gross) [SE.PRM.ENRR.MA]","School enrollment, primary, male (% net) [SE.PRM.NENR.MA]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary (% net) [SE.SEC.NENR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, female (% net) [SE.SEC.NENR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]","School enrollment, secondary, male (% net) [SE.SEC.NENR.MA]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, tertiary, female (% gross) [SE.TER.ENRR.FE]",Share of women employed in the nonagricultural sector (% of total nonagricultural employment) [SL.EMP.INSV.FE.ZS],"Unemployment, female (% of female labor force) [SL.UEM.TOTL.FE.ZS]","Unemployment, male (% of male labor force) [SL.UEM.TOTL.MA.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC]
Afghanistan,AFG,2017,YR2017,..,..,..,..,27.07227493,189,..,290572,68,30,91,..,..,530,20.89235133,9948660,..,..,..,..,..,..,66.68888092,101.2942123,84.41494751,3.373310089,..,..,..,102.1757889,..,82.08027649,..,121.3900528,..,53.64319992,48.44288,38.60253906,35.12171,67.91249084,61.08087,..,..,..,14.09,10.42,11.18,..
Afghanistan,AFG,2018,YR2018,67.7,..,48.5,39.9,29.00589195,189,..,318520,69,29,91,..,..,520,21.24701514,10319153,..,..,..,..,..,..,67.12930298,103.2832565,85.62532806,3.199790001,..,..,..,103.9961624,..,82.85025024,..,124.2297516,..,55.42520905,50.1407,39.99840164,36.69527,70.05275726,62.88953,9.686420441,4.905079842,..,13.92,10.29,11.06,..
Afghanistan,AFG,2019,YR2019,..,..,..,..,..,189,..,..,73,26,..,..,..,530,21.60739534,10701549,..,..,..,..,..,..,65.76151276,102.1178436,84.33058929,3.213779926,..,..,..,106.7010803,..,85.3766098,..,127.1080017,..,..,..,..,..,..,..,..,..,..,13.81,10.19,10.98,..
Africa Eastern and Southern,AFE,2017,YR2017,51.52032082,25.72742965,39.01103701,..,176.490676,..,..,..,..,..,..,50.92226492,..,1413.726151,47.05379219,258789552,..,..,..,..,..,..,..,..,..,5.02312994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.000607203,6.098260394,6.523060744,..
Africa Eastern and Southern,AFE,2018,YR2018,..,..,..,..,167.3551763,..,..,..,..,..,..,..,..,1461.127309,47.15188059,266483174,..,..,..,..,..,..,..,..,..,4.951634884,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.87703357,6.002257153,6.414391648,..
Africa Eastern and Southern,AFE,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,1493.242491,47.24011134,274560388,..,..,..,..,..,..,..,..,..,4.719299793,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.913878086,6.073359801,6.47226929,..
Africa Western and Central,AFW,2017,YR2017,62.99631683,38.96961046,36.27258132,..,284.9936282,..,24.3334711,..,..,..,..,57.41137812,..,1607.270345,44.83763004,143551063,..,..,..,..,..,..,..,..,..,3.431199908,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.377245847,5.563806848,5.927103775,..
Africa Western and Central,AFW,2018,YR2018,..,..,..,37.13875313,284.3404987,..,..,..,..,..,..,..,..,1607.913553,44.62344863,148828857,..,..,..,..,..,..,..,..,..,3.066335082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.920825284,5.899557317,5.910614964,..
Africa Western and Central,AFW,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,1665.502191,44.44177926,154240169,..,..,..,..,..,..,..,..,..,3.032850027,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.537050048,6.241558582,5.928926163,..
Albania,ALB,2017,YR2017,..,..,..,..,..,20,..,..,87,0.29,87,..,..,4290,41.24503232,1344945,..,..,..,..,..,..,103.6332321,100.5624237,101.9837036,3.611720085,..,..,..,107.0466003,95.53947,108.8700485,..,105.4698563,..,95.26589203,86.6726,94.71289825,88.46079,95.76335907,85.06396,57.3752594,69.81036377,..,12.48,14.41,13.62,..
