Country Name,Country Code,Year,Year Code,"Immunization, BCG (% of one-year-old children) [SH.IMM.IBCG]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Immunization, HepB3 (% of one-year-old children) [SH.IMM.HEPB]","Immunization, Hib3 (% of children ages 12-23 months) [SH.IMM.HIB3]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Immunization, measles second dose (% of children by the nationally recommended age) [SH.IMM.MEA2]","Immunization, Pol3 (% of one-year-old children) [SH.IMM.POL3]"
Afghanistan,AFG,2017,YR2017,78,66,66,66,64,39,73
Afghanistan,AFG,2018,YR2018,78,66,66,66,64,39,73
Afghanistan,AFG,2019,YR2019,78,66,66,66,64,39,73
Africa Eastern and Southern,AFE,2017,YR2017,81.0855071,76.29674244,75.91086576,75.91078489,72.33519371,30.0645047,76.06629983
Africa Eastern and Southern,AFE,2018,YR2018,80.02945077,76.82352511,76.59920545,76.59920545,72.08318685,31.96742192,76.5122092
Africa Eastern and Southern,AFE,2019,YR2019,80.68511691,77.06584932,76.67682071,76.67682071,73.25827219,41.21888717,77.30405234
Africa Western and Central,AFW,2017,YR2017,78.41189328,67.87137722,67.8162296,67.8162296,64.59895061,14.42651547,67.23083254
Africa Western and Central,AFW,2018,YR2018,77.24912038,67.49083184,67.49154955,67.49154955,64.18241886,14.74476488,66.77309204
Africa Western and Central,AFW,2019,YR2019,77.126464,68.48526537,68.48596034,68.48596034,64.62509318,21.60418124,67.9951914
Albania,ALB,2017,YR2017,99,99,99,99,96,98,99
Albania,ALB,2018,YR2018,99,99,99,99,94,96,99
Albania,ALB,2019,YR2019,99,99,99,99,95,96,99
Algeria,DZA,2017,YR2017,99,91,91,91,88,92,91
Algeria,DZA,2018,YR2018,99,91,91,91,80,77,91
Algeria,DZA,2019,YR2019,99,91,91,91,80,77,91
American Samoa,ASM,2017,YR2017,..,..,..,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,..,..
Andorra,AND,2017,YR2017,..,99,98,99,99,94,99
Andorra,AND,2018,YR2018,..,99,98,99,99,95,99
Andorra,AND,2019,YR2019,..,99,98,98,99,95,99
Angola,AGO,2017,YR2017,69,56,52,52,42,30,47
Angola,AGO,2018,YR2018,72,63,59,59,50,35,56
Angola,AGO,2019,YR2019,69,57,53,53,51,45,51
Antigua and Barbuda,ATG,2017,YR2017,..,95,95,95,99,95,94
Antigua and Barbuda,ATG,2018,YR2018,..,95,95,95,96,95,94
Antigua and Barbuda,ATG,2019,YR2019,..,95,99,99,93,95,95
Arab World,ARB,2017,YR2017,87.90505532,86.93700678,86.91140494,86.97179255,86.37754722,79.77206679,86.91842479
Arab World,ARB,2018,YR2018,88.38968809,85.93514228,85.95759743,85.95920685,84.58741924,76.69442537,84.6290572
Arab World,ARB,2019,YR2019,86.99579907,86.56053621,86.57486338,86.58343945,84.74135124,77.26759529,86.69005538
Argentina,ARG,2017,YR2017,95,86,86,86,89,89,84
Argentina,ARG,2018,YR2018,93,86,86,86,94,99,84
Argentina,ARG,2019,YR2019,93,86,86,86,94,89,84
Armenia,ARM,2017,YR2017,99,94,94,94,96,97,96
Armenia,ARM,2018,YR2018,99,92,92,92,95,96,92
Armenia,ARM,2019,YR2019,99,92,92,92,95,96,94
Aruba,ABW,2017,YR2017,..,..,..,..,..,..,..
Aruba,ABW,2018,YR2018,..,..,..,..,..,..,..
Aruba,ABW,2019,YR2019,..,..,..,..,..,..,..
Australia,AUS,2017,YR2017,..,95,95,94,95,93,95
Australia,AUS,2018,YR2018,..,95,95,94,95,93,95
Australia,AUS,2019,YR2019,..,95,95,95,95,94,95
Austria,AUT,2017,YR2017,..,90,90,90,96,84,90
Austria,AUT,2018,YR2018,..,85,85,85,94,84,85
Austria,AUT,2019,YR2019,..,85,85,85,94,84,85
Azerbaijan,AZE,2017,YR2017,97,95,95,95,98,97,97
Azerbaijan,AZE,2018,YR2018,97,95,95,95,96,96,96
Azerbaijan,AZE,2019,YR2019,96,94,94,94,98,97,96
"Bahamas, The",BHS,2017,YR2017,..,94,94,94,90,76,94
"Bahamas, The",BHS,2018,YR2018,..,90,90,90,89,69,90
"Bahamas, The",BHS,2019,YR2019,..,86,86,86,85,82,86
Bahrain,BHR,2017,YR2017,..,97,98,97,99,99,98
Bahrain,BHR,2018,YR2018,..,99,99,99,99,99,99
Bahrain,BHR,2019,YR2019,..,99,99,99,99,99,99
Bangladesh,BGD,2017,YR2017,99,98,98,98,97,93,98
Bangladesh,BGD,2018,YR2018,99,98,98,98,97,93,98
Bangladesh,BGD,2019,YR2019,99,98,98,98,97,95,98
Barbados,BRB,2017,YR2017,..,90,90,90,92,77,91
Barbados,BRB,2018,YR2018,..,95,95,95,85,74,94
Barbados,BRB,2019,YR2019,..,90,90,90,92,77,91
Belarus,BLR,2017,YR2017,98,97,98,9,97,98,98
Belarus,BLR,2018,YR2018,98,97,98,67,98,98,98
Belarus,BLR,2019,YR2019,97,98,97,91,98,98,98
Belgium,BEL,2017,YR2017,..,98,97,97,96,85,98
Belgium,BEL,2018,YR2018,..,98,97,97,96,85,98
Belgium,BEL,2019,YR2019,..,98,97,97,96,85,98
Belize,BLZ,2017,YR2017,90,88,88,88,90,88,88
Belize,BLZ,2018,YR2018,99,96,96,96,97,91,96
Belize,BLZ,2019,YR2019,95,98,98,98,96,95,98
Benin,BEN,2017,YR2017,89,76,76,76,70,..,75
Benin,BEN,2018,YR2018,89,76,76,76,71,..,75
Benin,BEN,2019,YR2019,89,76,76,76,71,..,75
Bermuda,BMU,2017,YR2017,..,..,..,..,..,..,..
Bermuda,BMU,2018,YR2018,..,..,..,..,..,..,..
Bermuda,BMU,2019,YR2019,..,..,..,..,..,..,..
