Country Name,Country Code,Year,Year Code,ARI treatment (% of children under 5 taken to a health provider) [SH.STA.ARIC.ZS],Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS],Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Diarrhea treatment (% of children under 5 who received ORS packet) [SH.STA.ORTH],"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]","Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]",Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women) [SH.MLR.IPTP.ZS],Malaria cases reported [SH.STA.MALR],"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]","Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],Use of insecticide-treated bed nets (% of under-5 population) [SH.MLR.NETS.ZS]
Afghanistan,AFG,2017,YR2017,..,..,..,..,27.07227493,189,..,290572,68,30,91,..
Afghanistan,AFG,2018,YR2018,67.7,..,48.5,39.9,29.00589195,189,..,318520,69,29,91,..
Afghanistan,AFG,2019,YR2019,..,..,..,..,..,189,..,..,73,26,..,..
Africa Eastern and Southern,AFE,2017,YR2017,51.52032082,25.72742965,39.01103701,..,176.490676,..,..,..,..,..,..,50.92226492
Africa Eastern and Southern,AFE,2018,YR2018,..,..,..,..,167.3551763,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,2017,YR2017,62.99631683,38.96961046,36.27258132,..,284.9936282,..,24.3334711,..,..,..,..,57.41137812
Africa Western and Central,AFW,2018,YR2018,..,..,..,37.13875313,284.3404987,..,..,..,..,..,..,..
Africa Western and Central,AFW,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2017,YR2017,..,..,..,..,..,20,..,..,87,0.29,87,..
Albania,ALB,2018,YR2018,82.4,..,52.5,34.5,..,18,..,..,87,0.29,89,..
Albania,ALB,2019,YR2019,..,..,..,..,..,16,..,..,87,0.29,..,..
Algeria,DZA,2017,YR2017,..,..,..,..,0,70,..,0,80,7.6,91,..
Algeria,DZA,2018,YR2018,..,..,..,..,0,69,..,0,80,7.6,85,..
Algeria,DZA,2019,YR2019,..,..,..,..,..,61,..,..,80,6.6,..,..
American Samoa,ASM,2017,YR2017,..,..,..,..,..,10,..,..,87,0.85,80,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,0,..,..,..,0,100,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,2.1,..,..,87,0.17,..,..
Andorra,AND,2017,YR2017,..,..,..,..,..,1.5,..,..,87,0.12,100,..
Andorra,AND,2018,YR2018,..,..,..,..,..,3,..,..,87,0.25,100,..
Andorra,AND,2019,YR2019,..,..,..,..,..,7.5,..,..,87,0.61,..,..
Angola,AGO,2017,YR2017,..,..,..,..,228.9089405,359,..,3874892,51,64,25,..
Angola,AGO,2018,YR2018,..,..,..,..,228.9089503,355,..,5150575,61,60,50,..
Angola,AGO,2019,YR2019,..,..,..,..,..,351,..,..,66,53,..,..
Antigua and Barbuda,ATG,2017,YR2017,..,..,..,..,..,1.2,..,..,87,1.2,100,..
Antigua and Barbuda,ATG,2018,YR2018,..,..,..,..,..,6,..,..,87,1.2,100,..
Antigua and Barbuda,ATG,2019,YR2019,..,..,..,..,..,0,..,..,..,1.2,..,..
Arab World,ARB,2017,YR2017,..,..,..,..,13.68022945,..,..,..,..,..,..,..
Arab World,ARB,2018,YR2018,..,..,..,..,13.70855325,..,..,..,..,..,..,..
Arab World,ARB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2017,YR2017,..,..,..,..,0,27,..,0,87,1.4,57,..
Argentina,ARG,2018,YR2018,..,..,..,..,0,27,..,0,87,1.3,54,..
Argentina,ARG,2019,YR2019,..,..,..,..,..,29,..,..,87,1.3,..,..
Armenia,ARM,2017,YR2017,..,..,..,..,0,36,..,0,80,1.2,79,..
Armenia,ARM,2018,YR2018,..,..,..,..,0,31,..,0,80,0.62,81,..
Armenia,ARM,2019,YR2019,..,..,..,..,..,26,..,..,80,0.03,..,..
Aruba,ABW,2017,YR2017,..,..,..,..,..,8.7,..,..,87,0.72,..,..
Aruba,ABW,2018,YR2018,..,..,..,..,..,5.4,..,..,87,0.45,..,..
Aruba,ABW,2019,YR2019,..,..,..,..,..,2.2,..,..,87,0.18,..,..
Australia,AUS,2017,YR2017,..,..,..,..,..,6.7,..,..,87,0.2,82,..
Australia,AUS,2018,YR2018,..,..,..,..,..,6.6,..,..,87,0.2,79,..
Australia,AUS,2019,YR2019,..,..,..,..,..,6.9,..,..,87,0.2,..,..
Austria,AUT,2017,YR2017,..,..,..,..,..,7.3,..,..,87,0.39,69,..
Austria,AUT,2018,YR2018,..,..,..,..,..,6.1,..,..,87,0.39,73,..
Austria,AUT,2019,YR2019,..,..,..,..,..,6.2,..,..,83,0.39,..,..
Azerbaijan,AZE,2017,YR2017,..,..,..,..,0,66,..,0,80,5.9,84,..
Azerbaijan,AZE,2018,YR2018,..,..,..,..,0,63,..,0,80,5.9,84,..
Azerbaijan,AZE,2019,YR2019,..,..,..,..,..,60,..,..,80,5.9,..,..
"Bahamas, The",BHS,2017,YR2017,..,..,..,..,..,15,..,..,87,0.24,71,..
"Bahamas, The",BHS,2018,YR2018,..,..,..,..,..,14,..,..,87,0.17,72,..
"Bahamas, The",BHS,2019,YR2019,..,..,..,..,..,15,..,..,87,0.09,..,..
Bahrain,BHR,2017,YR2017,..,..,..,..,..,12,..,..,87,0.51,..,..
Bahrain,BHR,2018,YR2018,..,..,..,..,..,11,..,..,87,0.51,47,..
Bahrain,BHR,2019,YR2019,..,..,..,..,..,12,..,..,87,0.51,..,..
Bangladesh,BGD,2017,YR2017,..,..,..,..,1.947705584,221,..,29007,69,34,94,..
Bangladesh,BGD,2018,YR2018,..,..,61.6,83.3,0.692739752,221,..,10426,75,29,94,..
Bangladesh,BGD,2019,YR2019,46.4,..,50.9,72.4,..,221,..,..,81,24,..,..
Barbados,BRB,2017,YR2017,..,..,..,..,..,0,..,..,..,0.9,..,..
Barbados,BRB,2018,YR2018,..,..,..,..,..,0.4,..,..,87,0.9,..,..
Barbados,BRB,2019,YR2019,..,..,..,..,..,0,..,..,..,0.9,..,..
Belarus,BLR,2017,YR2017,..,..,..,..,..,37,..,..,80,3.5,89,..
Belarus,BLR,2018,YR2018,..,..,..,..,..,31,..,..,80,2.8,88,..
Belarus,BLR,2019,YR2019,..,..,..,..,..,29,..,..,80,2.8,..,..
Belgium,BEL,2017,YR2017,..,..,..,..,..,9.2,..,..,87,0.29,79,..
Belgium,BEL,2018,YR2018,..,..,..,..,..,9.1,..,..,87,0.29,82,..
Belgium,BEL,2019,YR2019,..,..,..,..,..,8.9,..,..,87,0.29,..,..
Belize,BLZ,2017,YR2017,..,..,..,..,0.026997424,36,..,7,87,2.3,71,..
Belize,BLZ,2018,YR2018,..,..,..,..,0.011349965,30,..,3,87,2.3,67,..
Belize,BLZ,2019,YR2019,..,..,..,..,..,27,..,..,87,2.2,..,..
Benin,BEN,2017,YR2017,..,..,..,..,399.5579673,58,..,1774022,55,10,87,..
Benin,BEN,2018,YR2018,46.1,17.5,28,22.2,386.1823669,56,13.7,1975812,62,8.8,87,76.3
Benin,BEN,2019,YR2019,..,..,..,..,..,55,..,..,65,7.8,..,..
Bermuda,BMU,2017,YR2017,..,..,..,..,..,3.6,..,..,87,0.3,100,..
Bermuda,BMU,2018,YR2018,..,..,..,..,..,3.7,..,..,87,0.3,100,..
Bermuda,BMU,2019,YR2019,..,..,..,..,..,3.7,..,..,87,0.3,..,..
Bhutan,BTN,2017,YR2017,..,..,..,..,0.019937794,145,..,11,80,16,93,..
Bhutan,BTN,2018,YR2018,..,..,..,..,0.010747815,149,..,6,80,16,95,..
Bhutan,BTN,2019,YR2019,..,..,..,..,..,165,..,..,80,18,..,..
Bolivia,BOL,2017,YR2017,..,..,..,..,1.220001887,111,..,4572,61,11,83,..
Bolivia,BOL,2018,YR2018,..,..,..,..,1.405473055,108,..,5342,62,11,81,..
Bolivia,BOL,2019,YR2019,..,..,..,..,..,106,..,..,61,10,..,..
Bosnia and Herzegovina,BIH,2017,YR2017,..,..,..,..,..,29,..,..,80,3.2,45,..
Bosnia and Herzegovina,BIH,2018,YR2018,..,..,..,..,..,25,..,..,80,3,28,..
Bosnia and Herzegovina,BIH,2019,YR2019,..,..,..,..,..,27,..,..,65,2.8,..,..
Botswana,BWA,2017,YR2017,..,..,..,..,2.051410439,300,..,1900,80,17,78,..
Botswana,BWA,2018,YR2018,..,..,..,..,0.588195538,275,..,585,75,17,82,..
Botswana,BWA,2019,YR2019,..,..,..,..,..,253,..,..,53,28,..,..
Brazil,BRA,2017,YR2017,..,..,..,..,5.234572354,44,..,189503,87,2.5,71,..
Brazil,BRA,2018,YR2018,..,..,..,..,5.124373531,46,..,187693,87,2.4,71,..
Brazil,BRA,2019,YR2019,..,..,..,..,..,46,..,..,87,2.3,..,..
