Country Name,Country Code,Year,Year Code,"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]","Nurses and midwives (per 1,000 people) [SH.MED.NUMW.P3]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Specialist surgical workforce (per 100,000 population) [SH.MED.SAOP.P5]"
Afghanistan,AFG,2017,YR2017,..,0.39,..,0.1755,..,..
Afghanistan,AFG,2018,YR2018,..,..,..,..,..,..
Afghanistan,AFG,2019,YR2019,..,..,..,..,..,..
Africa Eastern and Southern,AFE,2017,YR2017,..,..,..,..,0.195748638,..
Africa Eastern and Southern,AFE,2018,YR2018,..,..,..,0.922278667,..,..
Africa Eastern and Southern,AFE,2019,YR2019,..,..,..,..,..,..
Africa Western and Central,AFW,2017,YR2017,..,..,..,..,0.24702842,..
Africa Western and Central,AFW,2018,YR2018,..,..,..,1.083608962,..,..
Africa Western and Central,AFW,2019,YR2019,..,..,..,..,..,..
Albania,ALB,2017,YR2017,..,..,..,..,..,..
Albania,ALB,2018,YR2018,..,..,..,..,..,..
Albania,ALB,2019,YR2019,..,..,..,..,..,..
Algeria,DZA,2017,YR2017,..,..,..,2.2228,1.7879,..
Algeria,DZA,2018,YR2018,..,..,..,1.5477,1.7193,..
Algeria,DZA,2019,YR2019,..,..,..,..,..,..
American Samoa,ASM,2017,YR2017,..,..,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,..
Andorra,AND,2017,YR2017,..,..,..,..,..,..
Andorra,AND,2018,YR2018,..,..,..,..,..,83.11
Andorra,AND,2019,YR2019,..,..,..,..,..,..
Angola,AGO,2017,YR2017,..,..,..,..,0.2146,..
Angola,AGO,2018,YR2018,..,..,..,0.4075,..,..
Angola,AGO,2019,YR2019,..,..,..,..,..,..
Antigua and Barbuda,ATG,2017,YR2017,..,2.89,..,4.4969,2.956,..
Antigua and Barbuda,ATG,2018,YR2018,..,..,..,4.5171,..,..
Antigua and Barbuda,ATG,2019,YR2019,..,..,..,..,..,..
Arab World,ARB,2017,YR2017,..,1.380434026,..,..,1.032242759,..
Arab World,ARB,2018,YR2018,..,..,..,2.155504512,..,..
Arab World,ARB,2019,YR2019,..,..,..,..,..,..
Argentina,ARG,2017,YR2017,..,4.99,..,2.5996,3.9901,..
Argentina,ARG,2018,YR2018,..,..,..,..,..,50.05
Argentina,ARG,2019,YR2019,..,..,..,..,..,..
Armenia,ARM,2017,YR2017,..,..,..,6.107,4.4023,86.66
Armenia,ARM,2018,YR2018,..,..,..,..,..,..
Armenia,ARM,2019,YR2019,..,..,..,..,..,..
Aruba,ABW,2017,YR2017,..,..,..,..,..,..
Aruba,ABW,2018,YR2018,..,..,..,..,..,..
Aruba,ABW,2019,YR2019,..,..,..,..,..,..
Australia,AUS,2017,YR2017,..,..,..,12.5508,3.6778,..
Australia,AUS,2018,YR2018,..,..,..,..,..,..
Australia,AUS,2019,YR2019,..,..,..,..,..,..
Austria,AUT,2017,YR2017,..,7.37,..,7.0899,5.1697,..
Austria,AUT,2018,YR2018,..,7.27,..,..,..,..
Austria,AUT,2019,YR2019,..,..,..,..,..,..
Azerbaijan,AZE,2017,YR2017,..,..,..,..,..,..
Azerbaijan,AZE,2018,YR2018,..,..,..,..,..,..
Azerbaijan,AZE,2019,YR2019,..,..,..,..,..,..
"Bahamas, The",BHS,2017,YR2017,..,2.96,..,3.2512,2.0068,..
"Bahamas, The",BHS,2018,YR2018,..,..,..,4.5669,..,..
"Bahamas, The",BHS,2019,YR2019,..,..,..,..,..,..
Bahrain,BHR,2017,YR2017,..,1.74,..,..,..,..
Bahrain,BHR,2018,YR2018,..,..,..,..,..,..
Bahrain,BHR,2019,YR2019,..,..,..,..,..,..
Bangladesh,BGD,2017,YR2017,..,..,..,0.3163,0.5433,..
Bangladesh,BGD,2018,YR2018,..,..,..,0.4124,0.5809,2.91
Bangladesh,BGD,2019,YR2019,..,..,..,..,..,..
Barbados,BRB,2017,YR2017,..,5.97,..,3.0189,2.4843,..
Barbados,BRB,2018,YR2018,..,..,..,3.06,..,..
Barbados,BRB,2019,YR2019,..,..,..,..,..,..
Belarus,BLR,2017,YR2017,..,..,..,..,..,..
Belarus,BLR,2018,YR2018,..,..,..,..,..,..
Belarus,BLR,2019,YR2019,..,..,..,..,..,..
Belgium,BEL,2017,YR2017,..,5.66,..,18.9734,3.0709,..
Belgium,BEL,2018,YR2018,..,5.62,..,19.4614,..,..
Belgium,BEL,2019,YR2019,..,5.58,..,..,..,..
Belize,BLZ,2017,YR2017,..,1.04,..,185.314,1.1229,..
Belize,BLZ,2018,YR2018,..,..,..,2.3414,..,..
Belize,BLZ,2019,YR2019,..,..,..,..,..,..
Benin,BEN,2017,YR2017,..,..,..,..,..,..
Benin,BEN,2018,YR2018,..,..,..,0.3888,0.0791,..
Benin,BEN,2019,YR2019,..,..,..,..,..,..
Bermuda,BMU,2017,YR2017,..,..,..,..,..,..
Bermuda,BMU,2018,YR2018,..,..,..,..,..,..
Bermuda,BMU,2019,YR2019,..,..,..,..,..,..
Bhutan,BTN,2017,YR2017,..,..,..,1.6349,0.4024,..
Bhutan,BTN,2018,YR2018,..,..,..,1.8518,0.4242,..
Bhutan,BTN,2019,YR2019,..,..,..,..,..,..
Bolivia,BOL,2017,YR2017,..,1.29,..,1.5589,..,..
Bolivia,BOL,2018,YR2018,..,..,..,..,..,..
Bolivia,BOL,2019,YR2019,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2017,YR2017,..,..,..,5.5647,..,..
Bosnia and Herzegovina,BIH,2018,YR2018,..,..,..,5.7333,..,..
Bosnia and Herzegovina,BIH,2019,YR2019,..,..,..,..,..,..
Botswana,BWA,2017,YR2017,..,..,..,..,..,..
Botswana,BWA,2018,YR2018,..,..,..,5.403,..,..
Botswana,BWA,2019,YR2019,..,..,..,..,..,..
Brazil,BRA,2017,YR2017,..,2.09,..,9.737,2.1652,..
Brazil,BRA,2018,YR2018,..,..,..,10.119,2.1643,55.47
Brazil,BRA,2019,YR2019,..,..,..,..,..,..
British Virgin Islands,VGB,2017,YR2017,..,..,..,..,..,..
British Virgin Islands,VGB,2018,YR2018,..,..,..,..,..,..
British Virgin Islands,VGB,2019,YR2019,..,..,..,..,..,..
Brunei Darussalam,BRN,2017,YR2017,..,2.85,..,6.0989,1.609,..
Brunei Darussalam,BRN,2018,YR2018,..,..,..,5.8974,..,..
Brunei Darussalam,BRN,2019,YR2019,..,..,..,..,..,..
Bulgaria,BGR,2017,YR2017,..,7.45,..,..,..,..
Bulgaria,BGR,2018,YR2018,..,..,..,..,..,112.71
Bulgaria,BGR,2019,YR2019,..,..,..,..,..,..
Burkina Faso,BFA,2017,YR2017,..,..,..,0.8829,0.0847,..
Burkina Faso,BFA,2018,YR2018,..,..,..,..,..,..
Burkina Faso,BFA,2019,YR2019,..,..,..,..,..,..
Burundi,BDI,2017,YR2017,..,..,..,0.8526,0.1001,..
Burundi,BDI,2018,YR2018,..,..,..,..,..,0.4
Burundi,BDI,2019,YR2019,..,..,..,..,..,..
Cabo Verde,CPV,2017,YR2017,..,..,..,1.28,..,..
Cabo Verde,CPV,2018,YR2018,..,..,..,1.2983,..,..
Cabo Verde,CPV,2019,YR2019,..,..,..,..,..,..
Cambodia,KHM,2017,YR2017,..,..,..,0.7007,..,..
Cambodia,KHM,2018,YR2018,..,..,..,0.6855,..,4.2
Cambodia,KHM,2019,YR2019,..,..,..,..,..,..
Cameroon,CMR,2017,YR2017,..,..,..,..,..,..
Cameroon,CMR,2018,YR2018,..,..,..,..,..,..
Cameroon,CMR,2019,YR2019,..,..,..,..,..,..
Canada,CAN,2017,YR2017,..,2.53,..,9.9491,2.6102,..
Canada,CAN,2018,YR2018,..,2.55,..,9.9438,..,..
Canada,CAN,2019,YR2019,..,2.52,..,..,..,..
Caribbean small states,CSS,2017,YR2017,..,2.38671741,..,..,1.88305443,..
Caribbean small states,CSS,2018,YR2018,..,..,..,2.331134772,..,..
Caribbean small states,CSS,2019,YR2019,..,..,..,..,..,..
