Country Name,Country Code,Year,Year Code,Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
Afghanistan,AFG,2017,YR2017,..,..,..,..,..,..,..
Afghanistan,AFG,2018,YR2018,..,..,..,..,0.21,0.055,0.36
Afghanistan,AFG,2019,YR2019,9.2,..,..,..,..,..,..
Africa Eastern and Southern,AFE,2017,YR2017,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,2018,YR2018,..,14.66227319,5.467869528,23.82283586,5.17091073,1.972142892,8.497959931
Africa Eastern and Southern,AFE,2019,YR2019,6.648452482,..,..,..,..,..,..
Africa Western and Central,AFW,2017,YR2017,..,..,..,..,..,..,..
Africa Western and Central,AFW,2018,YR2018,..,7.62886455,1.330528683,13.83867184,6.835266062,2.694733752,11.00733593
Africa Western and Central,AFW,2019,YR2019,3.395120021,..,..,..,..,..,..
Albania,ALB,2017,YR2017,..,..,..,..,..,..,..
Albania,ALB,2018,YR2018,..,29.2,7.9,50.5,7.17,2.68,11.63
Albania,ALB,2019,YR2019,9,..,..,..,..,..,..
Algeria,DZA,2017,YR2017,..,..,..,..,..,..,..
Algeria,DZA,2018,YR2018,..,18.8,1.4,36.3,0.95,0.25,1.63
Algeria,DZA,2019,YR2019,6.7,..,..,..,..,..,..
American Samoa,ASM,2017,YR2017,..,..,..,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,..,..
Andorra,AND,2017,YR2017,..,..,..,..,..,..,..
Andorra,AND,2018,YR2018,..,33.8,29.5,38.1,11.02,5.19,17.17
Andorra,AND,2019,YR2019,7.7,..,..,..,..,..,..
Angola,AGO,2017,YR2017,..,..,..,..,..,..,..
Angola,AGO,2018,YR2018,..,..,..,..,6.94,3.1,11.05
Angola,AGO,2019,YR2019,4.5,..,..,..,..,..,..
Antigua and Barbuda,ATG,2017,YR2017,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2018,YR2018,..,..,..,..,6.38,2.9,10.26
Antigua and Barbuda,ATG,2019,YR2019,13.1,..,..,..,..,..,..
Arab World,ARB,2017,YR2017,..,..,..,..,..,..,..
