Country Name,Country Code,Year,Year Code,Consumption of iodized salt (% of households) [SN.ITK.SALT.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) [SH.STA.IYCF.ZS]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],Number of people who are undernourished [SN.ITK.DEFC],Prevalence of anemia among children (% of children ages 6-59 months) [SH.ANM.CHLD.ZS],Prevalence of anemia among non-pregnant women (% of women ages 15-49) [SH.ANM.NPRG.ZS],Prevalence of anemia among pregnant women (%) [SH.PRG.ANEM],Prevalence of anemia among women of reproductive age (% of women ages 15-49) [SH.ANM.ALLW.ZS],Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],"Prevalence of overweight, female (% of children under 5) [SH.STA.OWGH.FE.ZS]","Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of children under 5) [SH.STA.OWGH.MA.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]","Prevalence of severe wasting, weight for height (% of children under 5) [SH.SVR.WAST.ZS]","Prevalence of severe wasting, weight for height, female (% of children under 5) [SH.SVR.WAST.FE.ZS]","Prevalence of severe wasting, weight for height, male (% of children under 5) [SH.SVR.WAST.MA.ZS]","Prevalence of stunting, height for age (% of children under 5) [SH.STA.STNT.ZS]","Prevalence of stunting, height for age, female (% of children under 5) [SH.STA.STNT.FE.ZS]","Prevalence of stunting, height for age, male (% of children under 5) [SH.STA.STNT.MA.ZS]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Prevalence of underweight, weight for age, female (% of children under 5) [SH.STA.MALN.FE.ZS]","Prevalence of underweight, weight for age, male (% of children under 5) [SH.STA.MALN.MA.ZS]","Prevalence of wasting, weight for height (% of children under 5) [SH.STA.WAST.ZS]","Prevalence of wasting, weight for height, female (% of children under 5) [SH.STA.WAST.FE.ZS]","Prevalence of wasting, weight for height, male (% of children under 5) [SH.STA.WAST.MA.ZS]",Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS]
Afghanistan,AFG,2017,YR2017,..,..,..,..,8300000,44.2,41.3,36.9,40.9,..,..,..,..,..,..,..,..,..,..,..,..,23,..,..,..,..,..,..,95
Afghanistan,AFG,2018,YR2018,..,57.5,..,..,8700000,44.5,42.3,36.7,41.8,..,4.1,4.2,..,4,..,1.6,1.4,1.7,38.2,38.1,38.3,23.4,19.1,18.7,19.5,5.1,4.1,6.1,93
Afghanistan,AFG,2019,YR2019,..,..,..,..,9700000,44.9,43.2,36.5,42.6,..,..,..,..,..,..,..,..,..,..,..,..,25.6,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,2017,YR2017,..,..,12.43264505,..,123000000,54.15073415,32.98157869,39.92391296,33.49938464,..,..,..,..,..,..,..,..,..,..,..,..,23.29480899,..,..,..,..,..,..,48.34305573
Africa Eastern and Southern,AFE,2018,YR2018,..,..,..,..,126900000,54.21125913,33.1499582,39.83569316,33.64348028,..,..,..,..,..,..,..,..,..,..,..,..,23.40549852,..,..,..,..,..,..,60.19694087
Africa Eastern and Southern,AFE,2019,YR2019,..,..,..,..,136500000,54.29798868,33.43229855,39.78519939,33.87536982,..,..,..,..,..,..,..,..,..,..,..,..,24.52407994,..,..,..,..,..,..,..
Africa Western and Central,AFW,2017,YR2017,..,..,10.51717422,..,46700000,70.77012531,50.7171209,54.53150963,51.04213645,..,..,..,..,..,..,..,..,..,..,..,..,12.00504273,..,..,..,..,..,..,63.93576815
Africa Western and Central,AFW,2018,YR2018,..,..,..,..,49300000,69.93755871,50.59859921,54.23723093,50.92082698,..,..,..,..,..,..,..,..,..,..,..,..,12.42072982,..,..,..,..,..,..,71.13653692
Africa Western and Central,AFW,2019,YR2019,..,..,..,..,59500000,69.02574881,50.51131211,53.98193323,50.81442108,..,..,..,..,..,..,..,..,..,..,..,..,14.63207372,..,..,..,..,..,..,..
Albania,ALB,2017,YR2017,..,..,29.2,..,100000,28.4,24.2,24,24.2,..,16.4,15.4,..,17.4,..,0.5,0.7,0.4,11.3,11,11.6,4.1,1.5,1.2,1.8,1.6,2,1.2,..
Albania,ALB,2018,YR2018,64.6,36.5,28.9,..,100000,29.6,24.5,24.2,24.5,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,..,..,..,..,..
